POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Ruturaj_Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14
2,Shivam_Dubey,11,11,1,289,95,28.9,185,156.21,0,2,22,16
3,"
Ambati_Rayudu",13,11,0,274,78,24.91,224,122.32,0,1,25,15
4,"
Devon_Conway",7,7,1,252,87,42,173,145.66,0,3,22,12
5,Moeen_Ali,10,10,0,244,93,24.4,177,137.85,0,1,24,11
6,MS_Dhoni,14,13,6,232,50,33.14,188,123.4,0,1,21,10
7,Robin_Uthappa,12,11,0,230,88,20.91,171,134.5,0,2,19,14
8,Ravindra_Jadeja,10,10,4,116,26,19.33,98,118.36,0,0,6,5
9,Dwaine_Pretorius,6,5,1,44,22,11,28,157.14,0,0,3,3
10,Jagadeesan_Narayan,2,2,1,40,39,40,37,108.1,0,0,3,1
11,"
Dwayne_Bravo",10,6,4,23,12,11.5,24,95.83,0,0,1,1
12,Mitchell_Santner,6,4,2,22,11,11,27,81.48,0,0,3,0
13,Chris_Jordan,4,2,1,11,6,11,8,137.5,0,0,0,0
14,Maheesh_Theekshana,9,2,1,7,7,7,7,100,0,0,0,1
15,Simarjeet_Singh,6,3,2,7,3,7,8,87.5,0,0,0,0
16,Mukesh_Choudhary,13,2,1,6,4,6,6,100,0,0,1,0
